Query_1	CM040440.1	100.000	720	0	0	1	720	1	720	0.0	1330
Query_1	CM040440.1	100.000	720	0	0	1	720	18965	19684	0.0	1330
Query_1	CM040440.1	99.585	723	0	2	1	720	8301217	8300495	0.0	1315
Query_1	CM040440.1	99.448	724	0	1	1	720	37903	38626	0.0	1312
Query_1	CM040440.1	99.447	723	1	2	1	720	8282251	8281529	0.0	1310
Query_1	CM040440.1	98.611	720	10	0	1	720	1358922	1359641	0.0	1275
Query_1	CM040440.1	98.611	720	10	0	1	720	7994214	7993495	0.0	1275
Query_1	CM040440.1	98.472	720	11	0	1	720	8229998	8229279	0.0	1269
Query_1	CM040440.1	97.790	724	12	2	1	720	1388878	1389601	0.0	1245
Query_1	CM040440.1	97.778	720	16	0	1	720	8165927	8165208	0.0	1242
Query_1	CM040440.1	95.845	722	12	6	1	720	1333496	1334201	0.0	1151
Query_1	CM040440.1	94.183	722	36	6	1	720	8256345	8255628	0.0	1096
Query_1	CM040440.1	93.767	722	38	5	1	720	8320642	8319926	0.0	1077
Query_1	CM040440.1	94.576	590	27	2	1	586	8347011	8346423	0.0	907
Query_1	CM040440.1	88.702	593	52	14	1	586	8160931	8161515	0.0	710
Query_1	CM040440.1	97.543	407	10	0	1	407	8202492	8202086	0.0	697
Query_1	CM040440.1	86.993	592	65	10	1	586	8144655	8145240	0.0	656
Query_1	CM040440.1	87.411	564	65	5	3	563	8429853	8430413	0.0	643
Query_1	CM040440.1	98.286	350	6	0	1	350	8019605	8019256	2.49e-174	614
Query_1	CM040440.1	97.006	334	9	1	387	720	8019263	8018931	3.28e-158	560
Query_1	CM040440.1	96.285	323	12	0	85	407	8264913	8264591	2.58e-149	531
Query_1	CM040440.1	76.672	583	101	25	18	586	8189692	8189131	4.76e-77	291
Query_1	CM040440.1	76.431	594	102	26	10	586	8399090	8398518	6.16e-76	287
Query_1	CM040440.1	78.451	297	56	6	295	586	8156035	8155742	6.42e-46	187
Query_1	CM040440.1	100.000	28	0	0	1	28	8264936	8264909	2.44e-05	52.8
Query_1	CM040451.1	99.861	721	0	1	1	720	16546247	16545527	0.0	1325
Query_1	CM040451.1	99.585	723	0	2	1	720	16565211	16564489	0.0	1315
Query_1	CM040451.1	99.585	723	0	1	1	720	16584165	16583443	0.0	1315
